age,income,credit_score,debt_ratio,employment_years,Default_Status
58,45196.92345996181,598.7955832757234,0.4700683801160932,11,Default
26,124010.72481416534,752.9863683729511,0.34726949085246744,2,No Default
58,101087.87722063746,493.99965780616367,0.5984980412521228,0,Default
50,40006.14570224579,757.4704676643132,0.01060808499924814,8,No Default
39,113824.30909006321,715.0931246543613,0.42008452669233265,7,No Default
30,17036.647936420326,723.4689900359898,0.30114277206381856,4,No Default
28,40130.44803437665,491.6662984948908,0.6164346569726676,6,Default
34,15391.619794056765,696.2367530134728,0.36087319056477707,16,Default
40,75892.10539368479,686.4723226920174,0.7940516934577456,0,Default
26,102371.03274311683,752.6517496011351,0.6526849902126495,5,No Default
28,21185.26240831142,720.7465281974297,0.7840837831501423,0,Default
69,38615.517419188116,488.89755531142396,0.41807880185841073,6,Default
59,99328.2995416789,739.2123270197208,0.342143368643114,1,No Default
47,84118.39744146333,795.2141698232781,0.1913014425571808,8,No Default
47,98652.3455474316,784.9877870342954,0.25314825643579514,17,No Default
20,96888.37836506174,761.8446231228268,0.2610938118602824,9,No Default
27,98935.36118441196,768.9902662240969,0.37296003143436157,2,No Default
53,30132.1528463766,584.1683843028795,0.9164519950550022,6,Default
38,113923.16406177534,709.031250660327,0.26906748675437564,7,No Default
44,101149.53807338118,770.1040201011233,0.31206923922328283,8,No Default
47,89675.63155053214,671.4350353275419,-0.006001215443426056,0,No Default
26,133736.0340201699,763.2591777512747,0.13546543781802373,10,No Default
45,90844.21566378555,744.9566334594035,0.0050557905597957255,15,No Default
24,164859.8782727529,785.6505942848446,0.2808710197623732,12,No Default
63,98370.0237018168,604.2850839372803,0.11316930780869881,16,No Default
22,100267.36095564194,590.6480979055196,0.23125854645395183,11,No Default
67,15847.043948918876,730.2813012721153,0.07650872375602819,0,No Default
47,72020.04119022895,762.7128422129516,0.33049812771952536,9,No Default
41,13852.44168605327,745.844590019271,0.18373236133039828,10,No Default
21,25628.232228797468,426.90060912041736,0.82643524787443,0,Default
22,25274.57827126459,724.9015467424928,0.32133820157745757,6,Default
24,66701.0070069297,631.0942343317249,0.33113161963755217,4,No Default
41,89243.56339574073,667.513036630013,0.23597713339324863,20,No Default
54,86725.37465310027,712.7901826530291,0.2963956924275789,15,No Default
29,68988.45526930875,659.3358938013507,0.19206588718230225,21,No Default
32,97674.90356089994,665.9110754055114,0.23525476675293172,5,No Default
62,79477.82989642415,756.8873882974502,0.11432836447214917,11,No Default
53,17458.70108549784,676.4281028513291,0.3906612969582693,14,No Default
47,17042.790150593675,634.0122289449755,1.0477696377779455,4,Default
40,79536.20798244946,660.6841231597418,0.16752330945336186,3,No Default
56,76650.04677166017,453.2928059194017,0.6759439914926063,0,Default
45,87930.88469709131,693.0451458747551,0.24389211527895294,0,No Default
37,72354.56893096723,853.8612227603782,0.544465977425556,3,No Default
44,92090.46479348012,514.365721003322,0.6660803423985531,9,Default
48,37598.22906307908,600.7274849764515,0.07604841742565277,6,Default
58,72520.50584772807,705.6196337704567,0.44232025609092335,3,No Default
40,122615.2619073091,753.3606503965696,0.3790622274906868,8,No Default
20,31505.312512619166,513.6633141338799,0.3526353471054181,13,Default
39,64583.538706522435,533.0399649213487,0.35211321788298144,16,Default
26,36307.42920451382,737.3876881353956,0.6485363164075678,10,Default
20,77283.82123961294,450.39823498748365,0.7982652743730165,0,Default
30,21452.140110294997,671.0919649711207,0.5658490684878738,14,Default
37,79964.54407308635,665.1785659550754,0.22582570091447307,12,No Default
30,25704.960156977515,710.5080384936456,0.37904517674578075,0,No Default
63,23899.417649689833,575.5714080581539,0.2623259491449895,6,No Default
53,51082.153896270516,721.0072955493182,0.2794284990596827,11,No Default
45,71861.47510572521,517.6298400993248,0.687307427940083,6,Default
45,52940.65778629892,728.3799959982281,0.27712647706492766,4,No Default
29,142906.84111003825,705.0241936655679,0.043183460031873434,5,No Default
27,75059.40668389304,486.1212954474883,0.6884858753555453,2,Default
20,117922.08156163087,713.5926539439307,0.35211981456421976,12,No Default
28,149003.79467255637,806.4855029925502,0.11393364961750752,4,No Default
36,22552.02566791572,619.6946730979014,0.48911639906800425,8,Default
32,90778.67819449566,790.2225427377036,0.2710747375596435,15,No Default
43,80590.03321047887,533.0550642559828,0.6234586870767955,15,Default
49,20673.898622369732,696.6454326443233,0.2286019171671694,8,No Default
56,69210.6925992373,530.8781287297707,0.6034856483611226,0,Default
41,31717.712850042266,733.7259338562463,0.007596785301262496,10,No Default
34,40058.057196856134,504.2694229104466,0.42556524508929844,11,Default
51,45913.047121399104,424.95458044927705,0.7511393722358565,13,Default
30,49336.58411192288,508.00435557363977,0.4945926159184846,11,Default
56,77037.50598503984,715.7687313064239,0.354620132368142,4,No Default
28,82942.06425177713,816.4659430131835,0.1413130749670347,7,No Default
20,114818.03318373587,537.2810920597701,0.507802619053765,9,Default
34,119649.74700837133,673.3166695734669,0.04335703388878096,4,No Default
66,156511.75133313652,699.3771958132844,0.157941916266791,11,No Default
41,69064.5431205417,599.7502036830565,0.23610233457244464,4,No Default
57,90521.28969523698,774.1415151037389,0.2921551076794255,6,No Default
50,102622.80076972173,675.5384605456817,0.5966266257152182,0,Default
53,49838.984268819935,631.1059724793053,0.4934313585626827,0,Default
38,21255.55870786993,697.7339761064469,0.5977392713603109,16,Default
35,23546.751113461552,490.42646360661814,0.7541734044767053,15,Default
53,39572.76820947661,553.6289785441685,0.4086466741458741,15,Default
20,71968.33074173094,761.6739453224029,0.4116335646504804,5,No Default
36,81352.47380803175,735.8853580116078,0.041885704959510064,10,No Default
42,20034.398124950334,399.7770408482297,0.23616570454777003,5,Default
46,68439.2156357826,736.0919101190673,0.17669014939552657,17,No Default
54,110987.19747289008,678.2938472542909,0.19264821936111934,3,No Default
20,45591.500918383594,670.8756075983287,0.26764785368242,24,No Default
56,106622.4528511993,643.2875004342822,0.01572991950885786,4,No Default
33,26978.180240597623,617.4105926575628,0.47991795439256785,4,Default
56,85879.81780932774,785.2647235327528,0.3686713584400654,12,No Default
42,93999.11899116139,680.9676894949215,0.17279537245838114,14,No Default
50,25138.55129839606,646.8050712053324,0.4258823416914479,6,No Default
34,50573.03917244885,659.5934447823186,0.36079794851042146,0,No Default
52,67770.88867531382,734.7943561907703,0.42758356626107036,11,No Default
35,73343.06774463481,712.5897285506936,0.5124506913487243,10,Default
42,57675.856230136036,727.1280806602861,0.2380207268349306,0,No Default
41,117367.99758624031,673.5137852735429,0.38493515355839997,10,No Default
44,76049.79034137222,704.7074260960648,0.24530356605171783,16,No Default
39,95861.3837459166,571.5461192644691,0.38973132384484305,7,No Default
20,71728.91921315987,694.2211117773967,0.4846905564052158,17,Default
49,48904.1932522289,563.391054756279,0.5619921858558912,1,Default
32,73178.36899079071,764.9941611023706,0.11898326384747976,9,No Default
31,76589.11468454926,524.5932949995417,0.04203316084482321,13,No Default
42,21672.53098729323,379.25379487330304,0.5652344867163296,0,Default
50,33062.078577981774,724.5839115822458,0.20797388230545735,16,No Default
25,112513.13556831011,757.6350258638948,0.4580429214412131,12,No Default
56,25805.207741814553,636.5769975567197,0.013044795792606092,6,No Default
31,29543.493171289585,693.3342637097745,0.4652738469814262,0,Default
55,54947.33277120104,420.43838618341425,0.5257997976398953,0,Default
43,40931.4486646542,730.9401779008396,0.3717137395585701,9,Default
43,116079.64266273634,657.8813643354256,0.24821745416527824,11,No Default
47,42303.63575782916,832.3504374519829,0.42407037162209815,8,No Default
62,46991.26485390206,666.4710024074627,0.4566817930452524,4,Default
42,106596.04047331089,644.6353103904049,0.3707325550633951,11,No Default
49,14835.826805317696,762.4408281236302,0.28167210252202735,9,No Default
43,77820.07142242728,642.7186534748839,0.00258880914024146,15,No Default
37,32074.95441778744,644.2430166269198,0.34218245425994503,3,No Default
24,65391.95472073544,557.3208005432925,0.7322446382226028,12,Default
54,47120.770783893284,625.450044727002,0.6308523567777533,14,Default
20,87613.35051455525,833.168305613319,0.1582474746843165,3,No Default
20,76406.5397301611,414.316318000058,0.5713371808696002,0,Default
22,54014.39931917336,609.3620163472226,0.638896277198391,6,Default
41,31643.863090882216,606.021624550815,0.4870387594158094,12,Default
30,72800.74105614492,676.8774054476297,0.25461294839484694,8,No Default
28,74809.03471366613,378.25321752294695,0.4905455045713737,15,Default
33,66153.18564791532,665.1993672625556,0.3013484504654523,11,No Default
54,55086.99141258568,616.5426563520504,0.3196115397016497,5,Default
52,91414.03946850699,696.308691458069,0.23167848789112513,15,No Default
37,109443.20941325458,645.9414309733138,0.3723462683611807,1,No Default
59,37524.96666304359,454.08099295246984,0.7931520838982125,18,Default
35,114333.43041175608,753.2366380518534,0.554348871719079,12,No Default
39,161591.13258971696,646.8475294180914,0.06523117233892071,6,No Default
34,78740.40366292452,576.6819535651979,0.6245633201225275,0,Default
24,58996.057813773965,601.0110957400831,0.8227500013526567,14,Default
25,17852.18608936117,570.5418686185192,0.5625078536949317,17,Default
49,21177.980528005242,540.9432617584363,0.19976454201461855,16,Default
48,11469.656843550065,788.8689652925915,0.6980436795963363,0,Default
47,47651.547470083635,570.360342189097,0.42100765653122796,5,Default
35,17117.651724863023,756.2302679905224,0.016426389394187856,17,No Default
55,45896.00717575756,608.6014796962206,0.9214039713683151,1,Default
20,28209.382627524352,619.120289182828,0.845756724811996,8,Default
27,66051.15175478604,723.5431537950806,0.2678788733497416,8,No Default
48,51010.55229151989,760.9898381269854,0.23763292941391095,11,No Default
56,141001.29611117335,678.9589367414887,0.30940452865380175,10,No Default
31,105508.75341148641,718.9400622414915,-0.024116673766018643,9,No Default
26,23481.10327994387,594.4927007004048,0.7947534070462815,13,Default
28,34566.27812344914,812.2127332403395,0.21784097001464287,10,No Default
30,73025.5137033446,636.7291405431822,0.32662402621811865,14,No Default
38,92837.01437052288,546.2065891930325,0.7703269818987428,0,Default
42,67981.76925807484,665.7449028883483,0.15256959711668366,2,No Default
20,42342.22235874485,610.4737933815126,0.36686921188881544,1,Default
42,42088.462952569374,772.3042972093151,0.23805788572948192,8,No Default
32,44817.913915392666,430.23862171084016,0.7961645898013386,0,Default
42,140537.11434939347,725.0243502093325,0.2892713094255299,19,No Default
53,51012.444308106,657.5058463787764,0.0009016607533667755,21,No Default
61,27225.968190315023,614.6157976552084,0.6227767740484121,14,Default
40,58021.21613229585,571.901708449283,0.5843754705230148,0,Default
73,139793.55021926196,744.7856379785959,0.4673975068218438,4,No Default
50,22329.121729843657,359.14587955892756,0.5205456907390913,3,Default
54,57061.62861379419,730.0627989472019,0.16382136391110616,9,No Default
43,25953.709243273865,440.4929095848114,0.5340830117099746,6,Default
37,147973.680857943,717.8136492024005,0.06721368701624048,5,No Default
39,125169.20316005101,746.7765075425734,0.1312019651455136,0,No Default
23,66036.71153042301,586.1006442070741,0.5262926371583915,2,Default
36,87527.01802025082,559.6275988580804,0.10823428311715474,3,No Default
29,56562.2943670379,666.8981582657162,0.17193165908220456,19,No Default
31,76664.66720009707,518.8486268608642,0.7286584622953652,0,Default
44,50731.98539368056,783.2277724370521,0.19514243073180132,23,No Default
48,106893.5803022159,652.3164928295498,0.1883208215996641,8,No Default
37,68613.98074345435,656.7530711422271,0.281389595074618,12,No Default
52,84164.59258089769,732.9939786142124,0.4849234943597233,9,No Default
48,86751.91321024884,712.2023640182236,0.2839786342934002,25,No Default
35,60138.54667381307,664.2973523430085,0.3178962759127571,12,No Default
35,33736.67701230936,463.2376182278489,0.5143200804516892,1,Default
44,16415.01019903169,779.6505988234519,0.13952373975598747,14,No Default
39,48397.75325034111,650.1342407147264,0.07168690767554496,16,No Default
26,128325.11764976273,671.954211329779,0.22484476228700495,15,No Default
48,134036.7047814786,720.9356498959935,0.3817848007062176,13,Default
57,76679.96667541545,724.0978264483292,0.11349879711272376,3,No Default
34,106299.92636256077,773.1607005024448,-0.004491254049719503,4,No Default
44,58834.64375794238,671.4538002428654,0.5576250136524223,8,Default
59,85267.39788390543,531.8448308103718,0.49063127689471225,5,Default
42,66109.14909405545,703.9099657468162,0.4898136811293701,3,Default
20,68757.28142459359,522.0946567808069,0.4847997379979117,0,Default
41,100121.68476996214,668.7246965296224,0.45535433144296716,7,No Default
38,155127.20741127682,634.8260179242825,0.26077436967444334,13,No Default
32,35621.8063698497,444.94942429621545,0.7512860211147114,1,Default
21,86089.36782451067,646.1014874512595,0.27973029825883644,10,No Default
30,89427.74206483073,807.7008413347029,0.17366367029436852,6,No Default
56,157237.0780882071,756.0462331149862,0.36756326361950736,8,No Default
44,128362.4678538138,722.7369314080722,0.18476363636520834,8,No Default
47,116038.86106577369,566.6044223564011,0.019282428893026487,6,No Default
33,43065.209990777425,586.7074135640705,0.6539524454835274,11,Default
40,19664.557409868692,627.6171088515679,0.2979574582902943,17,Default
50,106838.76238262943,661.5061203446943,0.4764482442337065,7,No Default
55,46375.8619405316,750.7986985909819,0.30094315169764013,6,No Default
40,86749.59159038682,677.9416533625068,0.17010785391496785,16,No Default
53,37609.36228908314,686.8891282528647,0.20018839869909208,19,No Default
49,56614.2724055799,487.7062574592304,0.5415947924525573,0,Default
62,35526.203893554615,687.4368980063389,0.024725542969770916,3,No Default
30,131686.38026622415,763.8841664697193,0.1273592636124639,8,No Default
43,16855.63880534516,610.0816707996136,0.5594114324768765,12,Default
55,71827.94700058948,596.2203807934561,0.3020525211221766,6,Default
48,133463.2390894849,758.8492309092813,0.16249643691501736,17,No Default
27,21159.368829785926,716.2120685086684,0.8890227894507983,0,Default
30,88169.4849292213,784.4926392665118,0.5734766004007116,10,No Default
42,34457.4876662541,729.292160818656,0.2642211954803751,16,No Default
46,101945.91652676406,757.0820137726935,0.3773705437616221,7,No Default
44,85553.5581036877,767.181378472013,0.2418316957637978,1,No Default
51,91345.26839009605,657.2068309407927,0.1424119869217299,14,No Default
49,100968.0732535565,800.4327786160061,0.18024682631708921,0,No Default
32,24215.60068390342,604.4115605389057,0.5284106706051825,4,Default
56,115330.94631742832,690.1141396581696,0.5346307850887426,11,No Default
55,134846.9364611017,718.677110126315,0.2357767685997606,19,No Default
53,73577.9780397425,640.9403250848613,0.3185701441070713,6,No Default
40,28138.128264610146,610.881573530099,0.42349867082838805,11,Default
49,52324.74913624961,811.5570148179124,0.3606537106087902,7,No Default
47,23003.710294419754,556.6639358068642,0.4773685182987701,8,Default
23,20441.957762397575,691.7389866727935,0.6242631481872529,13,Default
44,120479.97324027646,654.7278937797379,0.22293103530430902,12,No Default
33,66915.18806241377,539.6765239772815,0.4961654387771681,16,Default
35,47761.68363713613,371.7201862737075,0.5614229128773818,0,Default
43,51986.58046311656,713.9502480815837,0.3073287947200504,1,Default
28,49333.69814512601,695.7633725061585,0.7159545493563634,5,Default
41,93666.07984353491,753.4828378969418,-0.007340056250578064,2,No Default
47,121514.68074303777,673.3393813240035,0.36723125161761444,1,No Default
41,63653.96412276878,707.6401385076216,0.2897747054576139,13,No Default
48,113260.06706943047,680.4272684658717,-0.03329173574366981,17,No Default
53,48931.132886933854,589.1382642413203,0.08488040749490189,16,No Default
47,82636.02106748396,776.4084691457874,0.3896101268146348,8,No Default
45,25171.57862452045,629.795709982899,0.7741523317523396,0,Default
55,41906.466974233575,528.8751497982306,0.41867967728076144,4,Default
52,39922.65445321437,779.220153149537,0.23284984683157328,4,No Default
28,85399.09970650337,838.4020362547301,-0.0246409643501889,3,No Default
37,34695.498776945125,657.8689739225517,0.5309769248636989,4,Default
46,59618.677939265406,499.9944687102731,0.29985035894662415,6,Default
45,68685.5237389343,723.1004978154241,0.3608850810623868,9,No Default
43,74081.15409357926,702.6088093162244,0.07064478703252462,4,No Default
37,38928.056467111994,708.9666469284358,0.1604126370529181,16,No Default
48,72382.04680791654,748.3004323844002,0.2058872801557917,11,No Default
54,20384.714718809526,488.56625332241975,0.3351621585154952,16,Default
39,47410.77980214342,515.9850843207954,0.3391064096035367,0,Default
32,85785.13962575808,696.7310259507169,0.19921362913398333,8,No Default
29,143900.8803537861,725.1603830550187,0.14139065418730043,2,No Default
27,98644.27092941555,702.3896443827476,0.31654302989358585,25,No Default
23,64596.39774156571,750.8348998199675,0.39319507983193686,19,No Default
28,125972.61418098853,853.1198413886051,0.2061125055590283,11,No Default
41,128571.05980388724,651.0729432769083,0.33876526870451973,15,No Default
63,114171.32123774834,656.1601492799767,0.2637893434627086,9,No Default
42,90778.66033296597,578.2076219980115,0.35299912814650436,16,Default
61,92623.16038637998,624.2891371525518,0.19820226957515755,12,No Default
37,112701.57714521552,660.2440345351004,0.4832120047324744,11,No Default
52,32495.8927867035,738.8111605147491,0.4735446965612503,17,Default
23,23954.853534057413,604.0954719152702,0.9011950443091271,0,Default
44,48009.16145702145,657.4428433686159,0.13204751918793783,2,No Default
38,58489.84183129541,626.1927601727604,0.3294693612953098,1,Default
53,97067.59297936299,664.4542141524224,0.21010846375885878,11,No Default
33,74273.30986976322,675.1748302424965,0.7127485118322157,3,Default
53,102542.01055422256,657.0079277456425,0.2758403327246729,11,No Default
45,65477.03953267146,360.22043441897245,0.6190310506090291,0,Default
34,115856.1049375601,719.9657480242507,0.13809741997516103,0,No Default
40,84420.52175908438,511.5262858800134,0.6107892484160294,13,Default
39,50141.37170750792,539.5394685368525,0.6520295416129629,13,Default
20,92018.1413788767,793.4441274212033,0.44727889034540885,7,No Default
63,82963.73399061868,735.975582268433,0.4655694927224867,12,No Default
56,63565.004836476095,802.3317303684444,0.13132664663615345,10,No Default
20,93852.11239716916,643.2234632541556,0.39298393381621327,6,Default
54,61000.219050596505,463.13125186166627,0.7481877621078713,2,Default
39,122264.2440673661,670.9330065838914,0.04879847302878511,3,No Default
30,102963.84164424529,729.3968365744736,0.3203904039874393,10,No Default
40,54603.71383451279,788.9771325377404,0.3163553823941743,7,No Default
44,49868.023086389665,528.3017965948189,0.2774490476557206,0,Default
54,92436.3824229156,673.2755532680823,0.3626893814611877,0,No Default
20,51092.39426225251,723.8590406117247,0.27894879751878987,14,No Default
48,32104.639829517877,722.1196661036479,0.009252304064226169,19,No Default
35,94081.89536270597,654.548763731748,0.4007752888626298,7,No Default
42,112321.80747983242,534.6802999341384,0.4369440725343978,0,No Default
55,85477.76745344547,659.8453382724766,0.1467290409465071,7,No Default
40,36802.95550022275,423.1375940173137,0.29655600115828457,5,Default
41,99593.19468149355,580.1745304299408,0.40207518566907113,3,No Default
47,58147.637859851275,757.6807367837708,0.12375151493653344,4,No Default
43,68417.12130301792,767.5966813125181,0.07486385871965855,10,No Default
34,176922.0402596193,839.7250354962656,0.20960569643443128,0,No Default
66,130736.06597810914,735.9610700152281,0.477283389662387,2,No Default
37,115337.8022991281,780.662787039514,0.085102394369492,11,No Default
49,90591.66007347393,742.4299040179101,0.12903928116956928,8,No Default
39,19930.935742425645,615.3403992571627,0.640998344251625,6,Default
25,16698.49776673358,542.276730766425,0.9774049158582412,5,Default
39,84280.13550272262,561.6116305095323,0.28969614809470023,0,Default
60,116528.31644022907,687.7965946465367,-0.027137166379658594,4,No Default
33,49784.00996718734,651.4392333357075,0.32489574806106336,2,No Default
44,121241.66032203397,609.0798843569355,0.08536288047600138,17,No Default
55,88192.68765459767,713.820358804037,0.21393919565505226,15,No Default
39,85220.27541733501,728.0306906510707,0.29855874188158604,2,No Default
27,64570.28494240055,552.4473985306896,0.5256095666392443,7,Default
45,74904.90086846362,816.3415709122614,0.41373416630638127,13,No Default
29,14102.371462966667,698.4650839343458,0.45979359029825895,2,Default
20,53064.01721321975,526.0478281115554,0.876324672001526,8,Default
44,88257.0100206607,484.670840406197,0.6188153755941144,4,Default
57,128923.5068850783,773.2686409707725,0.16699524026864324,9,No Default
48,120473.83239145369,732.0007789994589,0.3572148658327815,6,No Default
40,101948.1598078945,640.6904850266078,0.3544793856148141,7,No Default
51,133063.354006238,760.6985741408641,0.21131990445143842,15,No Default
63,20180.871764349373,756.3357954154745,0.17756180367651317,18,No Default
67,50660.60290662153,821.5800794292481,0.4035238523545224,11,No Default
36,111264.87521765809,804.7152679377317,0.2306640499988494,19,No Default
42,53020.511545796515,613.2867585075543,0.3486703960665731,7,No Default
41,69469.34156637081,629.7519056973473,0.6314829164464938,3,Default
38,65573.42543337295,686.5878908841353,0.16264705188939926,8,No Default
38,93577.60503496662,581.5902880090805,0.08930386690637371,12,No Default
58,80727.04299561842,687.1061448870773,0.33154824628154506,4,No Default
35,86866.29824653911,749.6599588338046,0.22062975727734285,10,No Default
38,86725.94474624381,630.9544540110763,0.06058256814560201,12,No Default
43,100800.46786623352,730.1522547608146,0.20931880697315475,19,No Default
31,46477.321432439894,742.4770798597754,0.6583415359602863,1,Default
57,68826.53537816173,628.4197341766966,0.9685450884077599,0,Default
44,76164.63945608542,613.9736031376925,0.24037055083920525,9,No Default
51,30887.91872018024,728.732884439353,0.2988914411946705,13,No Default
51,65248.03749574026,545.2096688842212,0.20441514375696024,1,Default
41,84859.97190591137,670.7166993937415,0.34368342355874115,20,No Default
57,123674.22236314802,726.6245294115847,0.2263057028857964,20,No Default
22,51010.958325683016,623.1687856809009,1.052871304153783,11,Default
42,66940.64540893637,667.1522238889155,0.2297925146960095,4,No Default
51,70368.83328673555,595.1068970578435,0.9963147846046091,2,Default
33,135378.08710289886,721.2372178502044,0.15043804294902105,14,No Default
20,57501.9105365067,574.168766001474,0.30951250547870135,15,Default
60,70267.25269743663,681.9110579552081,0.6233856836202384,15,Default
32,85562.0008490435,691.0800051351931,0.3851863471046824,17,No Default
48,15218.465966198806,674.3783274996322,0.1489648074691579,7,No Default
29,38019.541138399174,598.735049039686,0.28368622138897315,20,No Default
28,39448.43590256787,717.3906086377298,0.242858985483454,5,No Default
35,96228.32110267079,835.4774521993531,0.023533168383012632,7,No Default
40,56507.22128793484,657.4548898565816,0.281232973700371,14,No Default
35,40068.5170715776,623.7862927665941,0.46978340622442544,14,Default
61,88964.67478974002,723.8911407994714,0.1073957982280588,7,No Default
32,108300.60352923108,733.7043202945365,0.015867911643743352,13,No Default
49,49008.880292716596,694.3731831780749,0.26714103334056644,9,No Default
31,59619.54829805381,658.9018218469357,0.48506459511350847,0,Default
37,108239.77079857161,696.1836969243433,0.2642707732334726,15,No Default
34,21273.99615105358,608.1448480884155,0.893577518799397,0,Default
20,13589.027739949837,545.1502098000751,0.3614668779854824,4,Default
30,62582.502166806,790.3833625413517,0.14305333616753635,12,No Default
41,102545.7795543577,597.2503288241937,0.9127707045151152,6,Default
42,88092.80943712726,715.0597414820172,0.3042530200264137,16,No Default
42,93005.68062313336,803.0224759688979,0.23305666662074248,7,No Default
62,134070.91099874146,729.3880174931808,0.28876510621468937,10,No Default
57,18417.387743441053,365.75679888292234,0.529149610228436,7,Default
32,104717.60373480422,720.4560260345145,0.14188307927878233,12,No Default
50,29701.011156091132,629.5467824556326,0.31659516246153047,9,No Default
45,97165.64606451227,781.4916373435291,0.24792932782053223,12,No Default
45,95259.61769786461,540.1634862770569,0.8777970310143643,11,Default
26,23822.110903196968,608.2328797087281,0.25755798009572084,1,Default
31,67285.14984828676,584.8022166364933,0.6443861792198953,12,Default
34,71801.88169122639,408.5096648521721,0.44787440564870035,0,Default
41,114231.36455637551,703.7186665162866,0.3486836081327443,13,No Default
39,164717.26707051386,841.8111010853199,0.22460141696863828,2,No Default
51,68321.79690213932,711.4917720909277,-0.002683111436594239,5,No Default
43,54174.161475474444,444.3692876092914,0.5340096568727039,0,Default
41,59548.12051211766,752.094560119416,0.04462054221122992,15,No Default
27,60466.2704318313,569.9355529721068,0.3507952956649373,1,Default
36,92308.90015568312,730.1276823033865,0.3075549554507046,5,No Default
41,108829.72191088647,772.7583892803218,0.017905750473143668,10,No Default
53,86138.8061528449,728.1723840785584,0.5015476481194334,19,No Default
32,112046.86537223337,810.2286712047492,0.18347680070310568,11,No Default
38,75598.47568700387,748.0547386242491,0.4475663599310471,8,No Default
59,124089.48821352572,729.1393895958699,0.5088940896380709,16,No Default
20,22578.645191528278,391.66037029761895,0.36113754853692237,3,Default
39,76449.36954835796,845.2712927325875,0.10480100326592814,14,No Default
35,56305.66909151274,537.3697058893683,0.012650841886936793,0,Default
50,76489.0877681045,774.9743410609425,0.2150113518032425,11,No Default
34,119637.50650814302,633.291967797664,0.2191010727010801,9,No Default
46,52015.74121205004,769.7232858734578,0.4045670098249099,8,No Default
57,101022.78982276774,768.7376227489709,0.39775579795178584,12,No Default
57,53735.16030583017,729.9478450216662,0.19737187747128704,8,No Default
